Bubble,Insertion,Merge,Quick,Radix,Selection,Shell,python
7.144000846892595e-06,5.1480019465088844e-06,3.2299940357916057e-06,4.241999704390764e-06,4.373899719212204e-05,5.31800469616428e-06,3.4769982448779047e-06,3.459994331933558e-06
8.88900103745982e-06,6.6440043156035244e-06,1.570799940964207e-05,1.1762000212911516e-05,4.164400161243975e-05,9.808994946070015e-06,1.170000177808106e-05,3.3370015444234014e-06
1.2862998119089752e-05,8.481998520437628e-06,2.8702001145575196e-05,1.2591000995598733e-05,4.7126995923463255e-05,1.5067002095747739e-05,1.3599004887510091e-05,3.3729957067407668e-06
1.8439000996295363e-05,1.051800063578412e-05,5.463100387714803e-05,2.0097002561669797e-05,5.230799433775246e-05,1.9241000700276345e-05,2.9235001420602202e-05,4.023000656161457e-06
2.18010027310811e-05,1.0764997568912804e-05,5.500199767993763e-05,2.7927002520300448e-05,5.842900282004848e-05,2.5375004042871296e-05,3.0456001695711166e-05,4.023000656161457e-06
2.7559995942283422e-05,1.1771997378673404e-05,6.805500015616417e-05,3.973400453105569e-05,6.440400466090068e-05,3.115599974989891e-05,3.482899774098769e-05,4.165005520917475e-06
3.483399632386863e-05,1.4578996342606843e-05,8.146500476868823e-05,3.953700070269406e-05,6.844200106570497e-05,3.759600076591596e-05,3.871900116791949e-05,4.9109949031844735e-06
4.350600647740066e-05,1.8679995264392346e-05,9.654799941927195e-05,4.962099774274975e-05,7.534100586781278e-05,4.4611995690502226e-05,6.362799467751756e-05,5.403002433013171e-06
5.416400381363928e-05,2.45039991568774e-05,0.00011531699419720098,5.881000106455758e-05,8.32820005598478e-05,5.181199958315119e-05,7.024400110822171e-05,6.3680054154247046e-06
6.00159983150661e-05,2.3198997951112688e-05,0.0001288839994231239,6.964900239836425e-05,8.735600567888469e-05,5.920699913986027e-05,7.157999789342284e-05,6.173999281600118e-06
7.212000491563231e-05,2.9508999432437122e-05,0.00014516499504679814,7.400899630738422e-05,9.379499533679336e-05,7.742999878246337e-05,7.871399429859594e-05,6.404996383935213e-06
7.518599886680022e-05,2.347300323890522e-05,0.00016013499407563359,7.665099838050082e-05,9.781599510461092e-05,7.52849955460988e-05,8.563300070818514e-05,6.4350024331361055e-06
9.043399768415838e-05,3.108399687334895e-05,0.0001739209983497858,8.504300058120862e-05,0.00010226599988527596,8.503600110998377e-05,9.46649961406365e-05,7.659000402782112e-06
0.00010355999984312803,3.677899803733453e-05,0.00019070200505666435,8.765499660512432e-05,0.00010842800111277029,9.432699880562723e-05,0.0001015840025502257,8.274000720120966e-06
0.00014836400077911094,4.685200110543519e-05,0.0002071269991574809,9.592000424163416e-05,0.00018963299953611568,0.00011410400475142524,0.00010673000360839069,8.55299731483683e-06
0.00014235099661163986,5.666100332746282e-05,0.0002214740015915595,0.00010458500037202612,0.00011804799578385428,0.00011566199827939272,0.0001477309997426346,9.06200148165226e-06
0.00015571500262012705,5.892499757464975e-05,0.0002424910053377971,0.0001117369974963367,0.00020352599676698446,0.0001531449961476028,0.0001532560054329224,1.0495001333765686e-05
0.0001768809961504303,4.7990004532039165e-05,0.00025769399508135393,0.00012317799701122567,0.00021630900300806388,0.00013788900105282664,0.0001592900007381104,1.046599936671555e-05
0.00017095399380195886,4.902799992123619e-05,0.00026889899891102687,0.00013309499627212062,0.00022241700207814574,0.00015271000302163884,0.0001642479983274825,1.0682997526600957e-05
0.00023001599765848368,7.089300197549164e-05,0.0003130210025119595,0.00013554899487644434,0.0002309199990122579,0.00018764499691314995,0.00017823499365476891,1.1380994692444801e-05
0.00022809999791206792,8.728399552637711e-05,0.00031205899722408503,0.00016042000061133876,0.00025215899950126186,0.00017618700076127425,0.0001838650059653446,1.176699879579246e-05
0.00025635299971327186,7.125599950086325e-05,0.00033045299642253667,0.00015113400149857625,0.00024993599799927324,0.00018793100025504827,0.0001914530002977699,1.2313998013269156e-05
0.00025126900436589494,7.96370004536584e-05,0.00034375800169073045,0.00018631500279298052,0.0002595750047476031,0.0002039399987552315,0.00020103099814150482,1.2800999684259295e-05
0.00028702200506813824,9.862699516816065e-05,0.0003637810004875064,0.00017837100313045084,0.00028751100035151467,0.00021856599778402597,0.00021084400214022025,1.3697994290851057e-05
0.00032054699840955436,0.000124147001770325,0.00037763100408483297,0.00018849399930331856,0.0003047010031878017,0.00023500300449086353,0.00022314100351650268,1.4005003322381526e-05
0.0003509499947540462,0.00011556899698916823,0.0005575530012720264,0.00020413500169524923,0.0003325930010760203,0.0002487050005584024,0.00023988199973246083,1.5427001926582307e-05
0.00034177800262114033,0.00010863700299523771,0.0004118470023968257,0.00020102399867027998,0.0003021850061486475,0.00026507999427849427,0.00024752499302849174,1.5607998648192734e-05
0.00041123000119114295,0.0001144540001405403,0.0004296729966881685,0.00023221800074679777,0.0003085429998463951,0.000282014996628277,0.000251197001489345,1.5368997992482036e-05
0.00041913400491466746,0.00016141400556080043,0.00045175500417826697,0.00023018499632598832,0.0003172470023855567,0.0003204509994247928,0.00025790099607547745,1.7331003618892282e-05
0.0004169160019955598,0.0001293499954044819,0.00047334300325019285,0.00021698100317735225,0.00032228900090558454,0.000313393997203093,0.00025336600083392113,1.7160004063043743e-05
0.0004457000031834468,0.00014449899754254147,0.00048117400001501665,0.00026373600121587515,0.00033613800042076036,0.00033358699874952435,0.00026971299666911364,1.7315003788098693e-05
0.000499695997859817,0.0001775880009518005,0.0005047539962106384,0.00024026400205912068,0.0003648839992820285,0.0003536669973982498,0.0003370909980731085,1.8396996892988682e-05
0.0005507430032594129,0.0001725289985188283,0.0005276950032566674,0.0002503459982108325,0.00034578200575197116,0.0003947360019083135,0.0003410760036786087,2.2678999812342227e-05
0.0005598569987341762,0.0002036299993051216,0.0005436749997898005,0.00028643100085901096,0.0003820159981842153,0.0003908889993908815,0.0003618219998315908,1.943900133483112e-05
0.0005360840004868805,0.0001472709991503507,0.0005612589957308955,0.0002994370006490499,0.0003717889994732104,0.00040967800305224955,0.00034937600139528513,2.016699727391824e-05
0.0006386870009009726,0.000234578998060897,0.0005814899996039458,0.00029554600041592494,0.0003816289972746745,0.00043220900261076167,0.000385721999919042,2.1003004803787917e-05
0.0006940110033610836,0.00025758900301298127,0.0006094179989304394,0.00031206299900077283,0.0003816980024566874,0.000451644002168905,0.0003743470006156713,2.131600194843486e-05
0.0006564550058101304,0.0002108349945046939,0.0006181010030559264,0.0003248590001021512,0.0003978890017606318,0.000499198999023065,0.00038731600216124207,2.1997999283485115e-05
0.0007203259956440888,0.000250814002356492,0.0006443680031225085,0.00035899000067729503,0.00040832300146576017,0.0005058450042270124,0.00039487300091423094,2.2544001694768667e-05
0.0007125819975044578,0.00021398800163296983,0.000679928001773078,0.00033522000012453645,0.00041152400081045926,0.0005403649993240833,0.00041268299537478015,2.2018997697159648e-05
0.0007768780051264912,0.0002831879974110052,0.0006735760034644045,0.0003857400006381795,0.00042652100091800094,0.0005390349979279563,0.00043290599569445476,2.4223998480010778e-05
0.0008035910068429075,0.00026075200003106147,0.0006924339977558702,0.00037206699926173314,0.0004570119999698363,0.0005704830036847852,0.00044406799861462787,2.441999822622165e-05
0.0008764230005908757,0.0002963150036521256,0.0007183799971244298,0.0004030479976790957,0.0004437320021679625,0.0005820699952892028,0.0004585819988278672,2.5787994673009962e-05
0.0008646009955555201,0.00023392099683405831,0.0007286730033229105,0.000396511000872124,0.000454743996670004,0.0006143850041553378,0.0004495530010899529,2.608299837447703e-05
0.0009109629972954281,0.00029329700191738084,0.0007579029988846742,0.00040642399835633114,0.0004830719990422949,0.0006625650057685561,0.0004575569982989691,2.688299719011411e-05
0.0009721559981699102,0.0003270069937570952,0.0007778159997542389,0.000400886005081702,0.0004805779972230084,0.0006667359994025901,0.00047215599624905735,2.7009999030269682e-05
0.0010497780021978542,0.0003845530009130016,0.0008232370018959045,0.00040870100201573223,0.0004814339990844019,0.000706393999280408,0.0004896239988738671,2.8317001124378294e-05
0.0010793530018418096,0.0003616879985202104,0.0008365210014744662,0.0004520899965427816,0.0004943509993609041,0.0007260240017785691,0.0005141930014360696,2.872700133593753e-05
0.001055774002452381,0.00032366300001740456,0.0008239029994001612,0.00044058299681637436,0.0005241749968263321,0.0007384709970210679,0.0005275189978419803,2.876999496947974e-05
0.0011611859954427928,0.00041315300040878356,0.0008577530024922453,0.00048462500126333907,0.0005097609973745421,0.0007603810008731671,0.0005409939985838719,3.13480049953796e-05
0.0011929910033359192,0.0003994329963461496,0.0008947690002969466,0.000711726002919022,0.0005228539957897738,0.0008033319973037578,0.0005624059995170683,3.1229996238835156e-05
0.0012270190054550767,0.00039508999907411635,0.0009161459965980612,0.00048126099864020944,0.0005337359980330803,0.0009200150016113184,0.0005491080009960569,3.12429983750917e-05
0.0013112250017002225,0.0004535789994406514,0.0009872340015135705,0.0004973969989805482,0.0006293080004979856,0.0008565950047341175,0.0005701679983758368,3.2292999094352126e-05
